"inches";"weight";"price_euros";"company";"typename";"ram"
15.6000003814697;2.17000007629395;1975;3;6;3
15.6000003814697;2.30999994277954;1534;4;6;2
14;1.64999997615814;1345;5;4;2
15.6000003814697;2.35999989509583;979;3;4;2
11.6000003814697;1.47000002861023;479;3;1;1
17.2999992370605;4.42000007629395;2046;3;4;2
17.2999992370605;2.5;639.900024414062;4;4;2
15.6000003814697;2.23000001907349;544;1;4;1
11.6000003814697;1.39999997615814;435;1;3;1
15.6000003814697;2.36999988555908;749;2;4;2
14;1.5;799;5;4;2
15.6000003814697;2.67000007629395;2090;5;4;2
15.6000003814697;2;304;2;4;1
15.6000003814697;2.20000004768372;469;1;4;1
15.6000003814697;2.01999998092651;759;3;4;2
13.3000001907349;1.28999996185303;1999;4;1;2
15.6000003814697;1.89999997615814;1154;4;4;2
13.3000001907349;1.41999995708466;1841.84997558594;3;5;2
14;1.78999996185303;740;3;4;2
15.6000003814697;1.77999997138977;2408;3;6;2
14;1.70000004768372;1364;5;4;2
15.6000003814697;2.20000004768372;675;3;4;2
13.3000001907349;1.04999995231628;1672;7;4;2
15.6000003814697;2.16000008583069;1262;3;4;2
15.6000003814697;2.1800000667572;586.599975585938;3;4;1
13.3000001907349;1.49000000953674;726;4;4;1
15.6000003814697;2.29999995231628;565;5;4;1
14;1.75;1049;5;4;2
15.6000003814697;2.17000007629395;2338;3;6;3
15.6000003814697;2.05999994277954;1899;3;4;3
12.5;1.36000001430511;1798;5;5;3
12.5;0.910000026226044;1950;2;5;3
15.6000003814697;2.29999995231628;1011.98999023438;5;4;2
13.3000001907349;1.04999995231628;2799;7;5;4
15.6000003814697;1.99000000953674;1350;2;2;2
15.6000003814697;2.20000004768372;579;1;4;2
12.5;1.29999995231628;1099;5;5;2
15.6000003814697;2.17000007629395;898.900024414062;5;4;2
14;1.48000001907349;1749;4;4;2
13.3000001907349;1.39999997615814;949;5;4;2
15.6000003814697;2.29999995231628;911;5;4;2
11.6000003814697;1.20000004768372;340;2;3;1
15.6000003814697;1.9099999666214;618.989990234375;4;4;2
13.8999996185303;1.39999997615814;1599;5;1;2
14;2.09999990463257;299;5;4;1
11.6000003814697;1.25;265;5;3;1
13.3000001907349;1.44000005722046;949;5;4;2
